"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","he-lazy-image src 2","img-wrp href","he-lazy-image src 3","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/denizli-merkezefendi-karaman-kiralik/daire/15694-3642","22","7.000","05-04-2025","Kiralık Daire","2 +
                          1","105 m²","15
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Laodikya Emlaktan Karaman Mah.  2+1  Ters Dubleks Kiralık Daire","Denizli / Merkezefendi / Karaman Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/5/6/4/1/3/4/a2f22126-dc81-460d-939c-26d356d4524e.jpg","https://www.hepsiemlak.com/emlak-ofisi/laodikya-emlak-15694","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/6/5/1/0/33193458-39d7-4838-ad1c-8e7fb7dc36a7.jpg","Laodikya Emlak"
"https://www.hepsiemlak.com/denizli-merkezefendi-degirmenonu-kiralik/daire/145774-652","7","7.000","05-04-2025","Kiralık Daire","Stüdyo","51 m²","3
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Değirmenönü Mahallesi'nde Kiralık 1+0 45 M2 Eşyalı Apart","Denizli / Merkezefendi / Değirmenönü Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/0/3/6/1/4/4/4/f7606f1d-8c56-456b-81e8-4d9d1a73405c.jpg","https://www.hepsiemlak.com/emlak-ofisi/rossi-gold-danismanlik-145774","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/7/7/5/4/1/60be29ec-f190-4df7-9af4-33d6cbbe334c.jpg","Rossi Gold Danışmanlık"
"https://www.hepsiemlak.com/denizli-pamukkale-istiklal-kiralik/daire/15694-3857","7","11.000","05-04-2025","Kiralık Daire","1 +
                          1","55 m²","7
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Laodikya'dan Kıbrısşehitlerde Lüks Eşyalı Kiralık Apart Klimalı  1+1 55 M2 Ara Kat","Denizli / Pamukkale / İstiklal Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/8/6/1/3/4/4/1741763759-544845-44316848.jpeg","https://www.hepsiemlak.com/emlak-ofisi/laodikya-emlak-15694","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/9/6/5/1/0/33193458-39d7-4838-ad1c-8e7fb7dc36a7.jpg","Laodikya Emlak"
"https://www.hepsiemlak.com/denizli-merkezefendi-karahasanli-kiralik/daire/134619-494","15","10.000","04-04-2025","Kiralık Daire","2 +
                          1","85 m²","6
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Karahasanlıda Uygun Kiralık 2+1 Asansörlü Ön Cephe  Fırsat Daire…","Denizli / Merkezefendi / Karahasanlı Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/0/0/2/2/4/4/4/1743774482-172405-44422005.jpeg","https://www.hepsiemlak.com/emlak-ofisi/reallife-gayrimenkul-134619","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/1/6/4/3/1/10474c61-69cf-470a-a925-fe5c3c0a361f.jpeg","Reallife Gayrimenkul"
"https://www.hepsiemlak.com/denizli-pamukkale-bagbasi-kiralik/daire/156162-8","15","18.000","05-04-2025","Kiralık Daire","2 +
                          1","65 m²","6
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bağbaşında Doğa Manzaralı Balkonlu Sıfır Eşyalı 2+1 Kiralık Daire","Denizli / Pamukkale / Bağbaşı Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/5/3/8/3/4/4/1742890732-7458239-44383565.jpeg","https://www.hepsiemlak.com/emlak-ofisi/kapan-insaat-gayrimenkul-156162","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/6/1/6/5/1/efcbac86-49fc-4008-9c21-adef4cb63553.jpg","Kapan İnşaat Gayrimenkul"
"https://www.hepsiemlak.com/denizli-merkezefendi-adalet-kiralik/daire/133343-591","46","25.000","04-04-2025","Kiralık Daire","3 +
                          1","195 m²","15
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Adalet Te Kiralık 3+1 Geniş Daire","Denizli / Merkezefendi / Adalet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/1/1/2/8/2/4/4/6f7870bd-560b-46a4-987f-f630ffd73670.jpg","https://www.hepsiemlak.com/emlak-ofisi/frezya-133343","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/3/4/3/3/3/1/4de97290-5be1-4753-b608-9c8975b2e2d7.jpg","Frezya"
"https://www.hepsiemlak.com/denizli-pamukkale-zeytinkoy-kiralik/daire/94398-5748","36","12.000","05-04-2025","Kiralık Daire","1 +
                          1","55 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","+1'den Paü Yakını 50 M2 1+1 Sıfır Balkonlu Eşyalı Apart","Denizli / Pamukkale / Zeytinköy Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/8/0/3/5/0/4/4/b05bd82d-2915-4b8d-953e-26ca9392ebe3.jpg","https://www.hepsiemlak.com/emlak-ofisi/arti-1-gayrimenkul-94398","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/9/3/4/9/0/1c30e048-c87e-4aa4-8855-f77710d5daf1.jpg","Artı 1 Gayrimenkul"
"https://www.hepsiemlak.com/denizli-merkezefendi-gumuscay-kiralik/daire/114752-1157","22","23.000","04-04-2025","Kiralık Daire","2 +
                          1","140 m²","2
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Artev'den Gümüşçay Mah.Nufüs/kaymakamlık/naz Bayrak Yakın 2+1","Denizli / Merkezefendi / Gümüşçay Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/0/4/7/0/4/4/492d1223-8005-47e0-8c00-2f0453e2180f.jpg","https://www.hepsiemlak.com/emlak-ofisi/artev-gayrimenkul-114752","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/5/7/4/1/1/4e735ee6-a144-4967-9a91-a1e82bba6c46.jpg","Artev Gayrimenkul"
"https://www.hepsiemlak.com/denizli-pamukkale-bagbasi-kiralik/daire/128687-1072","19","10.000","04-04-2025","Kiralık Daire","Stüdyo","45 m²","20
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Redstone Myra Dan Zeytinköy De 1+0 Eşyalı Kiralık Apart","Denizli / Pamukkale / Bağbaşı Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/9/2/2/4/4/4/1743787283-2703261-44422965.jpeg","https://www.hepsiemlak.com/emlak-ofisi/redstone-myra-gayrimenkul-128687","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/8/6/8/2/1/9beacb78-1908-4b12-a996-f9e4e21b7c31.jpg","Redstone Myra Gayrimenkul"
"https://www.hepsiemlak.com/denizli-merkezefendi-altintop-kiralik/daire/145774-651","21","18.000","04-04-2025","Kiralık Daire","3 +
                          1","175 m²","25
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Altıntop Mahallesi’nde Kiralık 3+1 170 M2 Süper Konumda Daire","Denizli / Merkezefendi / Altıntop Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/5/3/1/4/4/4/1743615966-968719-44413555.jpeg","https://www.hepsiemlak.com/emlak-ofisi/rossi-gold-danismanlik-145774","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/7/7/5/4/1/60be29ec-f190-4df7-9af4-33d6cbbe334c.jpg","Rossi Gold Danışmanlık"
"https://www.hepsiemlak.com/denizli-pamukkale-kayihan-kiralik/daire/102793-2553","12","9.000","04-04-2025","Kiralık Daire","1 +
                          1","55 m²","Sıfır Bina","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Fark20'den Kayhan'da Sıfır Arakat Lüx Apart","Denizli / Pamukkale / Kayıhan Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/2/4/5/0/4/4/5ec82f8d-ec8a-403d-88eb-d0ae8b868710.jpg","","",""
