"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","eids-badge__description","he-lazy-image src","eids-badge__label","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/kutahya-merkez-fuatpasa-kiralik/daire/0-44220547","23","25.000","29-03-2025","3 +
                          1","150 m²","21
                        Yaşında","6. Kat","Menderes Cd Ak Parti-Vakıflar Bölge.Md Karşısında 3+1 150 M2 Lüks Daire","Kütahya / Merkez / Fuatpaşa Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/4/5/0/2/2/4/4/cfNG1g8zoGuNp0XTugb_Y.jpg","",""
"https://www.hepsiemlak.com/kutahya-tavsanli-omerbey-kiralik/daire/140844-73","29","14.000","13-03-2025","3 +
                          1","148 m²","Sıfır Bina","Giriş Katı","*çağlar Emlak* Ömerbey Toki C3 Bloklarında Giriş Kat 3+1 Kiralık Daire","Kütahya / Tavşanlı / Ömerbey Mah.","","","","","","",""
"https://www.hepsiemlak.com/kutahya-merkez-saray-kiralik/daire/125505-514","12","11.500","28-02-2025","1 +
                          1","55 m²","5
                        Yaşında","3. Kat","Tantaş'tan Orduevi/adliye Yakını Kiralık Kısmi Eşyalı 1+1daire","Kütahya / Merkez / Saray Mah.","","","","","","",""
"https://www.hepsiemlak.com/kutahya-merkez-evliya-celebi-kiralik/daire/124839-288","17","17.500","29-03-2025","1 +
                          1","50 m²","Sıfır Bina","3. Kat","Dora'dan Şehir Hastanesi Yanı Sıfır Eşyalı Kiralık 1+1 Daire","Kütahya / Merkez / Evliya Çelebi Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","","",""
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/137832-475","14","8.000","05-04-2025","1 +
                          1","60 m²","11
                        Yaşında","3. Kat","Kütahya Merkez Yunusemre Mah Eşyalı Kiralık 1+1 Daire","Kütahya / Merkez / Yunusemre Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/kutahya-serra-gayrimenkul-137832","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/7/2/9/0/7/3/4/33d21c34-76ea-4d4e-b634-5c7d9e12fae8.jpg","Kütahya Serra Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/3/8/7/3/1/787e36e1-7510-4a08-8185-2ffa12607803.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-evliya-celebi-kiralik/daire/124839-285","15","12.000","29-03-2025","1 +
                          1","55 m²","9
                        Yaşında","2. Kat","Dora'dan Evliya Çelebi Mahallesi'nde Eşyalı Kiralık 1+1 Daire","Kütahya / Merkez / Evliya Çelebi Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/7/9/1/0/4/4/4/225c7fe1-baa3-4f13-b63a-eb4deaaf6a03.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-meydan-kiralik/daire/152229-42","18","8.500","14-01-2025","1 +
                          1","60 m²","10
                        Yaşında","Ara Kat","İça'dan Meydan Mahallesinde Abonelikleri Açık 1+1 Kiralık Daire","Kütahya / Merkez / Meydan Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/5/6/3/0/4/4/18a2e268-ee05-4def-a2dc-d856b1f0345c.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-zafertepe-kiralik/daire/0-43087854","19","18.000","29-03-2025","2 +
                          1","105 m²","5
                        Yaşında","4. Kat","Kamu Görevlisinden Önü Açık Temiz Güvenli Eşyalı 2+1 Daire","Kütahya / Merkez / Zafertepe Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/8/7/8/0/3/4/1722549553052-43087854.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/129236-375","41","12.500","05-04-2025","2 +
                          1","90 m²","9
                        Yaşında","2. Kat","Kütahya Merkez Yunusemre Mahallesi Kadir Özkanat Okulu Yakınında 2+1 Kiralık Daire","Kütahya / Merkez / Yunusemre Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/1/9/8/2/1/4/4/abdecab3-7d95-4a02-8429-fef78392b9da.jpg","",""
"https://www.hepsiemlak.com/kutahya-tavsanli-istasyon-kiralik/daire/151710-34","16","10.000","06-02-2025","1 +
                          1","65 m²","5
                        Yaşında","3. Kat","Tavşanlı Unsur Yapı Emlaktan Kiralık Full Eşyalı Apart","Kütahya / Tavşanlı / İstasyon Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/3/0/5/9/3/4/8cced700-306e-4488-ad00-3a4e45a9cf86.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-meydan-kiralik/daire/124839-289","12","8.000","29-03-2025","2 +
                          1","85 m²","25
                        Yaşında","Zemin","Dora'dan Meydan Mahallesi'nde Kiralık 2+1 Daire","Kütahya / Merkez / Meydan Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/1/2/0/4/4/4/cc24c20d-72b0-42a8-97c2-f7d2620d7e45.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-cemalettin-kiralik/daire/119531-714","15","18.000","25-03-2025","4 +
                          1","140 m²","25
                        Yaşında","Ara Kat","Kütahya Merkez Menderes Caddesi 4+1 Kiralık Daire ( Cemalettin Mahallesi )","Kütahya / Merkez / Cemalettin Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","https://www.hepsiemlak.com/emlak-ofisi/ozen-gayrimenkul-119531","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/0/7/8/3/4/4/1742933150137-44387085.jpg","Özen Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/5/9/1/1/0601cb15-dd30-48b4-88ad-a37a1affa3a7.jpg"
"https://www.hepsiemlak.com/kutahya-merkez-yunusemre-kiralik/daire/145652-2","11","12.000","06-02-2025","2 +
                          1","60 m²","10
                        Yaşında","2. Kat","Park Hayat Hastanesine Yakın Yunusemre Mh 1+1 60 M2 Eşyalı","Kütahya / Merkez / Yunusemre Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/9/0/0/5/1/4/4/62a77878-173f-44a7-b6a1-f46013a2134c.jpg","",""
"https://www.hepsiemlak.com/kutahya-merkez-balikli-kiralik/daire/124839-290","9","10.000","29-03-2025","1 +
                          1","50 m²","Sıfır Bina","2. Kat","Doara'dan Balıklı'da Kiralık 1+1 Ara Kat Daire","Kütahya / Merkez / Balıklı Mah.","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/8/1/2/0/4/4/4/6fa2bad1-cc2d-4479-9d9a-ca143b647927.jpg","",""
