"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","he-lazy-image src 2"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/149466-1","20","27.000","25-03-2025","Kiralık Daire","2 +
                          1","100 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sağlam Emlaktan Hastane Arkasında Kiralık Lüks Eşyalı 2+1daire","Afyonkarahisar / Merkez / Selçuklu Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/6/1/6/8/3/4/4/1742913972748-44386168.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-esentepe-kiralik/daire/142896-66","19","18.000","29-03-2025","Kiralık Daire","4 +
                          1","159 m²","5
                        Yaşında","Ara Kat","","","","Afyon Bilge Emlak Dan Esentepede   Lüks  Kiralık Daire","Afyonkarahisar / Merkez / Esentepe Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/2/9/3/9/3/4/3cc31c64-1b41-4412-8cb8-961a688fd19d.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dervis-pasa-kiralik/daire/124135-69","24","15.000","24-03-2025","Kiralık Daire","3 +
                          1","120 m²","30
                        Yaşında","5. Kat","","","","Afyon Şehir Merkezinin En Gözde Semti Ordu Bulvarı,  Mumcu  Apartmanı'nda Afjetli  3+1 Kiralık Daire","Afyonkarahisar / Merkez / Derviş Paşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/6/7/4/1/5/3/4/bfa0fc0e-f14c-4fd6-a50d-6db4da83ad8b.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-dervis-pasa-kiralik/daire/142896-73","9","12.750","03-04-2025","Kiralık Daire","3 +
                          1","146 m²","22
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bilge Emlak'tan Dervişpaşa Mahallesi 3+1 Afjetli  Ara Kat   Kiralık    Daire","Afyonkarahisar / Merkez / Derviş Paşa Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/7/1/1/4/4/4/ad0215bf-88d4-46cb-b6ed-35d18107aae6.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-maresal-fevzi-cakmak-kiralik/daire/0-44408967","15","13.000","01-04-2025","Kiralık Daire","3 +
                          2","130 m²","25
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sahibinden Bakımlı Temiz Daire","Afyonkarahisar / Merkez / Mareşal Fevzi Çakmak Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/9/8/0/4/4/4/1743501776416-44408967.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-fatih-kiralik/daire/142896-55","13","12.500","03-04-2025","Kiralık Daire","3 +
                          1","135 m²","15
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Bilge Emlak Dan  Eşref Paşa Merkezinde Kiralık Daire","Afyonkarahisar / Merkez / Fatih Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/6/9/2/9/7/3/4/b9b3f030-2e55-47b0-9b8d-7f6578751f60.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/145595-157","26","11.000","04-04-2025","Kiralık Daire","3 +
                          1","95 m²","22
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Tezcan Emlak Cumhuriyet Mah Merkezi Yerde 3+1 Kiralık Doğalgazlı Daire","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/2/8/5/1/4/4/4/b173cc82-0e65-4404-a705-1189a7defc7b.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-cumhuriyet-kiralik/daire/145595-139","33","14.500","03-04-2025","Kiralık Daire","3 +
                          1","105 m²","35
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Cumhuriyet Mah Merkezi Yerde 3+1 Kiralık Doğalgazlı Daire","Afyonkarahisar / Merkez / Cumhuriyet Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/9/6/7/2/1/4/4/02b1d64f-963c-4a5a-bb04-bb8db77457bf.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-erenler-kiralik/daire/116282-1189","13","9.000","04-04-2025","Kiralık Daire","2 +
                          0","60 m²","12
                        Yaşında","1. Kat","","","","Sılam Emlak'tan Erenler Mh. Eşyalı 2+0 Kiralık  Daire","Afyonkarahisar / Merkez / Erenler Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/5/5/5/5/3/4/b1efc7e0-cd3d-48b3-9775-ec7ffa22b845.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-sandikli-ece-kiralik/daire/0-44142560","18","17.500","04-02-2025","Kiralık Daire","2 +
                          1","80 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","2+1 Aralar Kiralık Daire","Afyonkarahisar / Sandıklı / Ece Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/6/5/2/4/1/4/4/beR8_L7KLjto0xxoXiKHr.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-marulcu-kiralik/daire/0-44308233","9","20.000","11-03-2025","Kiralık Daire","4 +
                          1","145 m²","35
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","4+1, 145 M2, Doğalgazlı Kiralık","Afyonkarahisar / Merkez / Marulcu Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/2/8/0/3/4/4/_MkHm_BzMfUTDLGbPAgVu.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/113196-264","37","32.000","20-03-2025","Kiralık Daire","4 +
                          1","178 m²","7
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Koçoğlundan Devlet Hastanesi Karşısı 4+1 Arakat Kiralık Daire","Afyonkarahisar / Merkez / Selçuklu Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/3/8/1/6/3/4/4/e30addfb-cdb3-4c02-90ee-827e3f625573.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-ornekevler-kiralik/daire/154976-4","16","11.000","14-03-2025","Kiralık Daire","2 +
                          1","110 m²","10
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Işılay Emlak'tan Örnek Evlerde Kiralık Daire","Afyonkarahisar / Merkez / Örnekevler Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/6/5/7/6/1/4/4/f496a6f4-d146-4cbc-9fd4-335de3e643a0.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-selcuklu-kiralik/daire/87840-3279","36","28.500","23-03-2025","Kiralık Daire","3 +
                          1","135 m²","7
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Öztürk Emlak'tan Uydukent Selçuklu Mh'de Site İçi Ara Kat Kiralık 3+1","Afyonkarahisar / Merkez / Selçuklu Mah.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/0/6/3/3/4/4/1742029817492-44336055.jpg"
"https://www.hepsiemlak.com/afyonkarahisar-merkez-hattat-karahisar-kiralik/daire/81449-2226","24","23.000","25-03-2025","Kiralık Daire","3 +
                          1","135 m²","11
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Afyon Üçok Emlaktan Hattat Karahisar Mah Cadde Üzeri Kiralık 3+1","Afyonkarahisar / Merkez / Hattat Karahisar Mah.",""
